ANO4,TRIMESTRE,AGLOMERADO,PONDERA,CH04,CH06,NIVEL_ED,ESTADO,CAT_OCUP,PP04B_COD,PP04D_COD,P21,P47T
2016,2,15,208,1,39,4,1,2,4808.0,30113.0,-9,-9.0
2016,2,15,208,2,37,6,3,0,,,0,0.0
2016,2,15,208,2,13,3,3,0,,,0,0.0
2016,2,15,208,1,9,1,4,0,,,0,0.0
2016,2,15,208,2,77,2,3,0,,,0,4500.0
2016,2,15,235,2,69,2,3,0,,,0,4500.0
2016,2,15,235,2,35,2,1,3,9700.0,55314.0,3500,5000.0
2016,2,15,235,1,10,1,3,0,,,0,0.0
2016,2,15,235,1,8,1,4,0,,,0,0.0
2016,2,15,235,1,39,2,1,3,4000.0,47314.0,7000,7000.0
2016,2,15,235,1,14,3,3,0,,,0,0.0
2016,2,15,235,2,38,2,2,3,,,0,0.0
2016,2,15,235,1,54,3,3,0,,,0,4500.0
2016,2,15,235,2,10,1,3,0,,,0,0.0
2016,2,15,235,1,6,1,4,0,,,0,0.0
2016,2,15,185,2,12,3,3,0,,,0,0.0
2016,2,15,185,2,5,7,4,0,,,0,0.0
2016,2,15,185,2,59,1,3,0,,,0,3500.0
2016,2,15,185,1,40,7,3,0,,,0,0.0
2016,2,15,171,2,2,7,4,0,,,0,0.0
2016,2,15,209,2,45,4,3,0,,,0,2800.0
2016,2,15,209,1,20,5,3,0,,,0,0.0
2016,2,15,209,2,19,3,3,0,,,0,0.0
2016,2,15,209,1,18,6,1,3,5601.0,53311.0,8000,8000.0
2016,2,15,209,2,11,1,3,0,,,0,0.0
2016,2,15,209,2,9,1,4,0,,,0,0.0
2016,2,15,209,1,10,1,3,0,,,0,0.0
